timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 09:17:17,gpt2,ioi,0.0,1.0,1.0,1.0,1.0,eap_frnorm_q0.0_k1.0_v1.0_g1.0_u1.0,0.2955
2026-05-07 09:18:01,gpt2,ioi,1.0,0.0,1.0,1.0,1.0,eap_frnorm_q1.0_k0.0_v1.0_g1.0_u1.0,2.3868
2026-05-07 09:18:44,gpt2,ioi,1.0,1.0,0.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.0_g1.0_u1.0,0.2426
2026-05-07 09:19:28,gpt2,ioi,1.0,1.0,1.0,0.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.0_u1.0,2.3101
2026-05-07 09:20:11,gpt2,ioi,1.0,1.0,1.0,1.0,0.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.0,2.3156
2026-05-07 09:20:54,gpt2,ioi,0.05,1.0,1.0,1.0,1.0,eap_frnorm_q0.05_k1.0_v1.0_g1.0_u1.0,0.2856
2026-05-07 09:21:38,gpt2,ioi,1.0,0.05,1.0,1.0,1.0,eap_frnorm_q1.0_k0.05_v1.0_g1.0_u1.0,2.3744
2026-05-07 09:22:22,gpt2,ioi,1.0,1.0,0.05,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.05_g1.0_u1.0,0.2595
2026-05-07 09:23:05,gpt2,ioi,1.0,1.0,1.0,0.05,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.05_u1.0,2.3101
2026-05-07 09:23:48,gpt2,ioi,1.0,1.0,1.0,1.0,0.05,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.05,2.3349
2026-05-07 09:24:31,gpt2,ioi,0.1,1.0,1.0,1.0,1.0,eap_frnorm_q0.1_k1.0_v1.0_g1.0_u1.0,0.2975
2026-05-07 09:25:15,gpt2,ioi,1.0,0.1,1.0,1.0,1.0,eap_frnorm_q1.0_k0.1_v1.0_g1.0_u1.0,2.3555
2026-05-07 09:25:59,gpt2,ioi,1.0,1.0,0.1,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.1_g1.0_u1.0,0.2827
2026-05-07 09:26:43,gpt2,ioi,1.0,1.0,1.0,0.1,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.1_u1.0,2.3101
2026-05-07 09:27:26,gpt2,ioi,1.0,1.0,1.0,1.0,0.1,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.1,2.3233
2026-05-07 09:28:10,gpt2,ioi,0.2,1.0,1.0,1.0,1.0,eap_frnorm_q0.2_k1.0_v1.0_g1.0_u1.0,0.2788
2026-05-07 09:28:54,gpt2,ioi,1.0,0.2,1.0,1.0,1.0,eap_frnorm_q1.0_k0.2_v1.0_g1.0_u1.0,2.3508
2026-05-07 09:29:38,gpt2,ioi,1.0,1.0,0.2,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.2_g1.0_u1.0,0.2801
2026-05-07 09:30:21,gpt2,ioi,1.0,1.0,1.0,0.2,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.2_u1.0,2.3101
2026-05-07 09:31:05,gpt2,ioi,1.0,1.0,1.0,1.0,0.2,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.2,2.3253
2026-05-07 09:31:48,gpt2,ioi,0.5,1.0,1.0,1.0,1.0,eap_frnorm_q0.5_k1.0_v1.0_g1.0_u1.0,2.2827
2026-05-07 09:32:32,gpt2,ioi,1.0,0.5,1.0,1.0,1.0,eap_frnorm_q1.0_k0.5_v1.0_g1.0_u1.0,2.3265
2026-05-07 09:33:16,gpt2,ioi,1.0,1.0,0.5,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.5_g1.0_u1.0,1.3645
2026-05-07 09:34:00,gpt2,ioi,1.0,1.0,1.0,0.5,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.5_u1.0,2.3101
2026-05-07 09:34:44,gpt2,ioi,1.0,1.0,1.0,1.0,0.5,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.5,2.4056
2026-05-07 09:35:28,gpt2,ioi,1.0,1.0,1.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u1.0,2.3101
2026-05-07 09:36:11,gpt2,ioi,1.5,1.0,1.0,1.0,1.0,eap_frnorm_q1.5_k1.0_v1.0_g1.0_u1.0,1.5570
2026-05-07 09:36:55,gpt2,ioi,1.0,1.5,1.0,1.0,1.0,eap_frnorm_q1.0_k1.5_v1.0_g1.0_u1.0,2.1115
2026-05-07 09:37:39,gpt2,ioi,1.0,1.0,1.5,1.0,1.0,eap_frnorm_q1.0_k1.0_v1.5_g1.0_u1.0,2.3407
2026-05-07 09:38:24,gpt2,ioi,1.0,1.0,1.0,1.5,1.0,eap_frnorm_q1.0_k1.0_v1.0_g1.5_u1.0,2.3101
2026-05-07 09:39:07,gpt2,ioi,1.0,1.0,1.0,1.0,1.5,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u1.5,1.5754
