timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 21:02:34,gpt2,ioi,0.0,1.0,1.0,1.0,1.0,eap_scaling_q0.0_k1.0_v1.0_g1.0_u1.0,0.2758
2026-05-07 21:03:18,gpt2,ioi,1.0,0.0,1.0,1.0,1.0,eap_scaling_q1.0_k0.0_v1.0_g1.0_u1.0,1.8834
2026-05-07 21:04:01,gpt2,ioi,1.0,1.0,0.0,1.0,1.0,eap_scaling_q1.0_k1.0_v0.0_g1.0_u1.0,0.2804
2026-05-07 21:04:45,gpt2,ioi,1.0,1.0,1.0,0.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.0_u1.0,1.2380
2026-05-07 21:05:28,gpt2,ioi,1.0,1.0,1.0,1.0,0.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.0,0.3504
2026-05-07 21:06:12,gpt2,ioi,0.05,1.0,1.0,1.0,1.0,eap_scaling_q0.05_k1.0_v1.0_g1.0_u1.0,0.2831
2026-05-07 21:06:55,gpt2,ioi,1.0,0.05,1.0,1.0,1.0,eap_scaling_q1.0_k0.05_v1.0_g1.0_u1.0,1.8691
2026-05-07 21:07:38,gpt2,ioi,1.0,1.0,0.05,1.0,1.0,eap_scaling_q1.0_k1.0_v0.05_g1.0_u1.0,0.2908
2026-05-07 21:08:22,gpt2,ioi,1.0,1.0,1.0,0.05,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.05_u1.0,1.2380
2026-05-07 21:09:05,gpt2,ioi,1.0,1.0,1.0,1.0,0.05,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.05,0.3967
2026-05-07 21:09:49,gpt2,ioi,0.1,1.0,1.0,1.0,1.0,eap_scaling_q0.1_k1.0_v1.0_g1.0_u1.0,0.2698
2026-05-07 21:10:32,gpt2,ioi,1.0,0.1,1.0,1.0,1.0,eap_scaling_q1.0_k0.1_v1.0_g1.0_u1.0,1.8653
2026-05-07 21:11:15,gpt2,ioi,1.0,1.0,0.1,1.0,1.0,eap_scaling_q1.0_k1.0_v0.1_g1.0_u1.0,0.2825
2026-05-07 21:11:59,gpt2,ioi,1.0,1.0,1.0,0.1,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.1_u1.0,1.2380
2026-05-07 21:12:42,gpt2,ioi,1.0,1.0,1.0,1.0,0.1,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.1,0.3351
2026-05-07 21:13:25,gpt2,ioi,0.2,1.0,1.0,1.0,1.0,eap_scaling_q0.2_k1.0_v1.0_g1.0_u1.0,0.2693
2026-05-07 21:14:08,gpt2,ioi,1.0,0.2,1.0,1.0,1.0,eap_scaling_q1.0_k0.2_v1.0_g1.0_u1.0,1.8259
2026-05-07 21:14:51,gpt2,ioi,1.0,1.0,0.2,1.0,1.0,eap_scaling_q1.0_k1.0_v0.2_g1.0_u1.0,0.2747
2026-05-07 21:15:35,gpt2,ioi,1.0,1.0,1.0,0.2,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.2_u1.0,1.2380
2026-05-07 21:16:17,gpt2,ioi,1.0,1.0,1.0,1.0,0.2,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.2,0.3275
2026-05-07 21:17:01,gpt2,ioi,0.5,1.0,1.0,1.0,1.0,eap_scaling_q0.5_k1.0_v1.0_g1.0_u1.0,0.3033
2026-05-07 21:17:44,gpt2,ioi,1.0,0.5,1.0,1.0,1.0,eap_scaling_q1.0_k0.5_v1.0_g1.0_u1.0,1.6993
2026-05-07 21:18:27,gpt2,ioi,1.0,1.0,0.5,1.0,1.0,eap_scaling_q1.0_k1.0_v0.5_g1.0_u1.0,0.2741
2026-05-07 21:19:11,gpt2,ioi,1.0,1.0,1.0,0.5,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.5_u1.0,1.2380
2026-05-07 21:19:55,gpt2,ioi,1.0,1.0,1.0,1.0,0.5,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.5,1.8131
2026-05-07 21:20:38,gpt2,ioi,1.0,1.0,1.0,1.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u1.0,1.2380
2026-05-07 21:21:21,gpt2,ioi,1.5,1.0,1.0,1.0,1.0,eap_scaling_q1.5_k1.0_v1.0_g1.0_u1.0,1.0509
2026-05-07 21:22:05,gpt2,ioi,1.0,1.5,1.0,1.0,1.0,eap_scaling_q1.0_k1.5_v1.0_g1.0_u1.0,0.2906
2026-05-07 21:22:48,gpt2,ioi,1.0,1.0,1.5,1.0,1.0,eap_scaling_q1.0_k1.0_v1.5_g1.0_u1.0,1.5142
2026-05-07 21:23:31,gpt2,ioi,1.0,1.0,1.0,1.5,1.0,eap_scaling_q1.0_k1.0_v1.0_g1.5_u1.0,1.2380
2026-05-07 21:24:15,gpt2,ioi,1.0,1.0,1.0,1.0,1.5,eap_scaling_q1.0_k1.0_v1.0_g1.0_u1.5,1.5950
2026-05-07 21:24:58,gpt2,ioi,3.0,1.0,1.0,1.0,1.0,eap_scaling_q3.0_k1.0_v1.0_g1.0_u1.0,0.5338
2026-05-07 21:25:42,gpt2,ioi,1.0,3.0,1.0,1.0,1.0,eap_scaling_q1.0_k3.0_v1.0_g1.0_u1.0,0.2917
2026-05-07 21:26:25,gpt2,ioi,1.0,1.0,3.0,1.0,1.0,eap_scaling_q1.0_k1.0_v3.0_g1.0_u1.0,1.8460
2026-05-07 21:27:08,gpt2,ioi,1.0,1.0,1.0,3.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g3.0_u1.0,1.2380
2026-05-07 21:27:52,gpt2,ioi,1.0,1.0,1.0,1.0,3.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u3.0,1.5115
2026-05-07 21:29:11,qwen2.5,ioi,0.0,1.0,1.0,1.0,1.0,eap_scaling_q0.0_k1.0_v1.0_g1.0_u1.0,0.9157
2026-05-07 21:30:29,qwen2.5,ioi,1.0,0.0,1.0,1.0,1.0,eap_scaling_q1.0_k0.0_v1.0_g1.0_u1.0,1.5580
2026-05-07 21:31:46,qwen2.5,ioi,1.0,1.0,0.0,1.0,1.0,eap_scaling_q1.0_k1.0_v0.0_g1.0_u1.0,0.2764
2026-05-07 21:33:04,qwen2.5,ioi,1.0,1.0,1.0,0.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.0_u1.0,1.5178
2026-05-07 21:34:21,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.0,0.2781
2026-05-07 21:35:39,qwen2.5,ioi,0.05,1.0,1.0,1.0,1.0,eap_scaling_q0.05_k1.0_v1.0_g1.0_u1.0,1.1977
2026-05-07 21:36:58,qwen2.5,ioi,1.0,0.05,1.0,1.0,1.0,eap_scaling_q1.0_k0.05_v1.0_g1.0_u1.0,1.5708
2026-05-07 21:38:14,qwen2.5,ioi,1.0,1.0,0.05,1.0,1.0,eap_scaling_q1.0_k1.0_v0.05_g1.0_u1.0,0.2777
2026-05-07 21:39:32,qwen2.5,ioi,1.0,1.0,1.0,0.05,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.05_u1.0,1.5236
2026-05-07 21:40:49,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.05,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.05,0.2816
2026-05-07 21:42:06,qwen2.5,ioi,0.1,1.0,1.0,1.0,1.0,eap_scaling_q0.1_k1.0_v1.0_g1.0_u1.0,1.2158
2026-05-07 21:43:24,qwen2.5,ioi,1.0,0.1,1.0,1.0,1.0,eap_scaling_q1.0_k0.1_v1.0_g1.0_u1.0,1.5311
2026-05-07 21:44:40,qwen2.5,ioi,1.0,1.0,0.1,1.0,1.0,eap_scaling_q1.0_k1.0_v0.1_g1.0_u1.0,0.2704
2026-05-07 21:45:59,qwen2.5,ioi,1.0,1.0,1.0,0.1,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.1_u1.0,1.5367
