timestamp,method,model,task,cpr
2026-05-09 17:09:20,eap_pure,gpt2,ioi,1.1941
2026-05-09 17:12:28,eap_pure,qwen2.5,ioi,0.2619
2026-05-09 17:13:25,eap_pure,qwen2.5,mcqa,1.0022
2026-05-09 18:19:29,eap_pure,gemma2,ioi,0.8867
2026-05-09 18:22:57,eap_pure,gemma2,mcqa,1.2362
2026-05-09 18:24:19,eap_ig_k5,gpt2,ioi,1.9678
2026-05-09 18:27:24,eap_ig_k5,qwen2.5,ioi,2.0041
2026-05-09 18:28:01,eap_ig_k5,qwen2.5,mcqa,1.0396
2026-05-09 19:02:36,eap_ig_k5,gemma2,ioi,3.1410
2026-05-09 19:05:55,eap_ig_k5,gemma2,mcqa,1.4576
2026-05-09 19:07:17,eap_frnorm,gpt2,ioi,2.3005
2026-05-09 19:10:22,eap_frnorm,qwen2.5,ioi,1.3884
2026-05-09 19:11:00,eap_frnorm,qwen2.5,mcqa,1.0940
2026-05-09 19:43:13,eap_frnorm,gemma2,ioi,1.8670
2026-05-09 19:46:22,eap_frnorm_secantmlp_bilinear,gpt2,ioi,2.5306
2026-05-09 19:46:36,eap_frnorm,gemma2,mcqa,1.2005
2026-05-09 19:47:57,eap_frnorm_secantmlp,gpt2,ioi,2.3264
2026-05-09 19:49:30,eap_frnorm_secantmlp_bilinear,qwen2.5,ioi,1.9025
2026-05-09 19:50:08,eap_frnorm_secantmlp_bilinear,qwen2.5,mcqa,2.1830
2026-05-09 19:51:05,eap_frnorm_secantmlp,qwen2.5,ioi,1.5716
2026-05-09 19:51:42,eap_frnorm_secantmlp,qwen2.5,mcqa,1.0815
2026-05-11 14:28:07,eap_frnorm_secantmlp_scale_k02g02,gpt2,ioi,2.3900
2026-05-11 14:31:12,eap_frnorm_secantmlp_scale_k02g02,qwen2.5,ioi,1.8748
2026-05-11 14:31:49,eap_frnorm_secantmlp_scale_k02g02,qwen2.5,mcqa,1.4918
2026-05-11 15:05:55,eap_frnorm_secantmlp,gemma2,ioi,2.1989
2026-05-11 15:09:22,eap_frnorm_secantmlp,gemma2,mcqa,1.3226
2026-05-11 15:42:28,eap_frnorm_secantmlp_bilinear,gemma2,ioi,2.3719
2026-05-11 15:45:46,eap_frnorm_secantmlp_bilinear,gemma2,mcqa,2.4695
2026-05-11 16:17:38,eap_frnorm_secantmlp_scale_k02g02,gemma2,ioi,2.3128
2026-05-11 16:20:58,eap_frnorm_secantmlp_scale_k02g02,gemma2,mcqa,2.2981
2026-05-11 16:46:25,eap_frnorm_secantmlp_bilinear_ig5,gpt2,ioi,2.3643
2026-05-11 16:49:30,eap_frnorm_secantmlp_bilinear_ig5,qwen2.5,ioi,1.9687
2026-05-11 16:50:07,eap_frnorm_secantmlp_bilinear_ig5,qwen2.5,mcqa,1.8015
2026-05-11 17:23:55,eap_frnorm_secantmlp_bilinear_ig5,gemma2,ioi,2.8923
2026-05-11 17:27:13,eap_frnorm_secantmlp_bilinear_ig5,gemma2,mcqa,2.4931
2026-05-14 15:26:11,eap_frnorm_secantmlp_bilinear_rawsrc,qwen2.5,ioi,1.9025
2026-05-14 16:07:53,eap_frnorm_secantmlp_bilinear_rawsrc,gemma2,ioi,2.3563
2026-05-14 21:44:30,eap_frnorm_secantmlp_bilinear_rawsrc_softcapoff,gemma2,ioi,0.2500
2026-05-15 21:01:48,eap_frnorm_secantmlp_bilinear_nosoftcap,gemma2,ioi,3.3951
2026-05-15 22:30:59,eap_frnorm_secantmlp_bilinear_rawsrc_nosoftcap,gemma2,ioi,3.1533
2026-05-16 17:45:27,eap_frnorm_secantmlp_bilinear_softcapbwdoff,gemma2,ioi,3.3489
2026-05-16 18:20:55,eap_frnorm_secantmlp_softcapbwdoff_dpeascale,gemma2,ioi,3.3455
